age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
33,admin.,married,university.degree,no,no,yes,telephone,mar,thu,78,2,999,1,failure,-1.8,93.369,-34.8,0.65,5008.7
50,admin.,married,university.degree,no,yes,no,telephone,may,fri,152,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
28,services,single,high.school,no,no,no,telephone,may,thu,137,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
66,management,divorced,university.degree,no,no,no,cellular,sep,tue,679,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5
46,management,married,high.school,unknown,yes,no,cellular,jul,thu,58,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
58,unemployed,divorced,high.school,no,no,no,cellular,jul,mon,377,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
30,admin.,single,basic.9y,no,yes,no,telephone,jul,thu,45,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
55,technician,married,professional.course,no,yes,yes,telephone,jun,fri,61,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
32,technician,married,high.school,no,no,no,cellular,sep,thu,245,1,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6
37,technician,married,professional.course,no,yes,no,cellular,aug,thu,224,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
48,services,married,high.school,unknown,no,no,cellular,aug,thu,776,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
40,blue-collar,married,basic.6y,unknown,yes,yes,telephone,jun,mon,21,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
55,management,married,university.degree,no,no,no,cellular,nov,wed,108,4,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8
31,technician,married,university.degree,no,no,no,cellular,aug,mon,109,1,999,1,failure,-2.9,92.201,-31.4,0.861,5076.2
48,admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,103,1,4,1,success,-2.9,92.201,-31.4,0.881,5076.2
55,management,single,basic.4y,no,yes,no,telephone,jun,wed,89,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
33,admin.,married,high.school,no,yes,no,cellular,jul,wed,134,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
40,technician,married,professional.course,no,no,no,cellular,aug,mon,80,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
34,technician,married,high.school,no,yes,no,cellular,aug,thu,221,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
42,admin.,divorced,university.degree,no,yes,no,cellular,apr,fri,237,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
29,blue-collar,single,professional.course,no,yes,no,cellular,may,wed,87,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
28,admin.,single,high.school,no,no,yes,cellular,jul,mon,157,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
32,admin.,single,university.degree,no,no,no,cellular,may,tue,63,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
27,student,single,high.school,no,yes,no,cellular,may,thu,101,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
25,admin.,married,university.degree,no,yes,no,cellular,mar,fri,294,1,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1
71,retired,married,basic.4y,no,yes,no,cellular,oct,thu,137,1,999,1,failure,-3.4,92.431,-26.9,0.754,5017.5
31,technician,single,university.degree,no,yes,no,telephone,may,mon,125,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
37,services,single,high.school,no,yes,no,cellular,may,wed,445,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1
24,student,single,high.school,no,unknown,unknown,cellular,jun,thu,282,3,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2
40,blue-collar,married,basic.4y,no,yes,yes,telephone,jun,mon,322,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1
27,blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,mon,235,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
58,management,married,basic.6y,no,yes,no,telephone,may,mon,197,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
51,services,married,high.school,no,no,no,cellular,aug,mon,72,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
30,admin.,married,high.school,no,yes,no,telephone,nov,thu,26,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8
69,retired,married,basic.4y,no,yes,no,cellular,oct,thu,124,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5
27,admin.,single,university.degree,no,no,no,cellular,may,mon,409,1,1,1,success,-1.8,92.893,-46.2,1.299,5099.1
58,management,married,university.degree,unknown,no,no,telephone,jun,mon,25,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
33,technician,single,university.degree,no,yes,yes,cellular,jun,wed,203,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
39,self-employed,single,basic.4y,unknown,yes,no,telephone,may,tue,83,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
27,admin.,single,basic.9y,no,yes,yes,cellular,jul,tue,81,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
42,technician,married,professional.course,unknown,no,no,cellular,aug,wed,88,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
49,housemaid,divorced,basic.4y,no,no,no,telephone,jun,fri,114,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1
31,admin.,single,high.school,no,yes,no,telephone,dec,mon,36,1,999,0,nonexistent,-0.2,92.756,-45.9,3.816,5176.3
34,housemaid,single,university.degree,no,no,no,telephone,jun,thu,267,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
38,blue-collar,married,basic.6y,unknown,no,no,cellular,may,thu,72,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1
75,retired,married,university.degree,no,yes,no,cellular,jul,thu,229,1,999,2,failure,-1.7,94.215,-40.3,0.81,4991.6
39,admin.,married,university.degree,no,no,no,telephone,jun,mon,61,7,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
48,management,married,high.school,unknown,no,no,cellular,nov,wed,275,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
31,admin.,single,high.school,no,yes,no,cellular,nov,fri,306,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
60,retired,married,high.school,no,no,no,cellular,may,thu,512,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
30,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,1038,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
24,services,single,university.degree,no,no,no,cellular,jul,thu,113,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
43,self-employed,single,high.school,unknown,no,no,cellular,may,wed,79,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
54,blue-collar,married,university.degree,no,no,yes,telephone,may,thu,106,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
40,admin.,married,basic.9y,no,no,no,telephone,jun,thu,185,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
46,management,married,high.school,unknown,no,no,cellular,may,tue,692,4,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1
24,blue-collar,divorced,basic.9y,no,no,no,cellular,may,wed,417,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
43,services,married,high.school,unknown,yes,no,telephone,jun,fri,139,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
36,blue-collar,married,basic.6y,no,yes,no,cellular,nov,wed,800,6,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
36,admin.,divorced,university.degree,no,no,yes,cellular,nov,thu,56,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
24,services,single,high.school,no,no,yes,telephone,may,fri,134,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
37,technician,married,professional.course,no,yes,no,cellular,aug,wed,414,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2
57,retired,married,high.school,no,yes,no,cellular,apr,thu,407,2,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7
35,admin.,married,basic.9y,no,no,no,telephone,may,tue,34,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,mon,36,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
32,blue-collar,single,basic.9y,unknown,no,no,cellular,jul,fri,316,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
53,management,married,university.degree,no,yes,no,cellular,aug,mon,629,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
32,technician,single,university.degree,no,yes,yes,cellular,aug,mon,508,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
56,blue-collar,divorced,high.school,no,no,no,telephone,nov,fri,68,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
39,technician,married,professional.course,no,yes,no,telephone,may,fri,435,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
43,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,28,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
43,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,317,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
24,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,155,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
29,blue-collar,divorced,high.school,no,yes,no,cellular,may,fri,144,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
53,services,divorced,high.school,unknown,yes,no,cellular,apr,thu,198,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1
36,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,thu,12,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
37,technician,single,professional.course,no,yes,no,cellular,aug,mon,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
45,blue-collar,married,basic.9y,no,unknown,unknown,cellular,apr,fri,182,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
33,admin.,married,high.school,no,no,no,cellular,jul,wed,254,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
37,technician,single,professional.course,no,yes,no,cellular,may,fri,131,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
56,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,33,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
27,technician,married,professional.course,no,no,yes,cellular,may,fri,224,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1
33,admin.,married,unknown,no,yes,no,telephone,may,fri,134,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
51,blue-collar,married,unknown,unknown,yes,no,cellular,jul,mon,377,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
29,admin.,married,university.degree,no,yes,no,cellular,aug,fri,137,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
59,housemaid,divorced,basic.6y,unknown,yes,no,cellular,may,tue,130,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
39,blue-collar,single,basic.4y,no,yes,no,telephone,mar,tue,137,3,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1
35,technician,married,university.degree,no,unknown,unknown,cellular,aug,tue,117,1,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2
60,retired,divorced,university.degree,no,yes,no,telephone,jun,fri,98,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
25,student,single,unknown,unknown,no,no,cellular,aug,fri,248,1,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2
31,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,535,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
34,admin.,single,university.degree,no,no,no,telephone,nov,fri,34,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
60,retired,married,university.degree,no,no,no,cellular,sep,thu,529,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6
28,technician,married,university.degree,no,yes,no,cellular,jul,wed,321,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
49,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,thu,205,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
59,retired,married,basic.6y,no,no,no,cellular,may,mon,233,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1
29,admin.,single,university.degree,no,yes,no,cellular,aug,thu,173,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
41,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,491,1,999,2,failure,-1.8,92.893,-46.2,1.313,5099.1
36,admin.,married,university.degree,no,no,no,telephone,may,fri,404,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
48,admin.,married,university.degree,no,yes,no,cellular,aug,wed,116,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
42,blue-collar,married,basic.6y,no,yes,yes,telephone,may,tue,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
36,admin.,married,high.school,no,yes,no,cellular,nov,tue,722,3,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8
44,blue-collar,married,basic.6y,no,no,no,cellular,aug,wed,195,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
49,retired,married,high.school,no,yes,no,cellular,may,mon,83,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
32,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,228,4,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
58,technician,married,basic.9y,no,yes,no,cellular,aug,mon,324,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6
73,retired,divorced,professional.course,unknown,yes,no,cellular,jul,thu,131,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6
44,admin.,married,high.school,no,no,no,telephone,may,fri,465,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
47,management,married,basic.4y,unknown,yes,no,telephone,jun,tue,100,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
46,blue-collar,married,high.school,no,no,no,cellular,may,tue,456,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
53,retired,divorced,university.degree,no,yes,no,cellular,jul,tue,62,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
30,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,193,11,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
42,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,173,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
29,admin.,single,high.school,no,no,no,cellular,jul,fri,567,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
54,retired,divorced,university.degree,no,yes,no,cellular,may,fri,778,5,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
23,student,single,high.school,no,yes,no,cellular,aug,fri,136,1,999,3,failure,-2.9,92.201,-31.4,0.881,5076.2
48,blue-collar,married,basic.4y,unknown,no,yes,cellular,aug,thu,274,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
57,technician,divorced,basic.6y,no,yes,no,cellular,may,mon,86,4,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
58,retired,married,basic.9y,unknown,yes,no,telephone,may,thu,828,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
35,blue-collar,divorced,basic.4y,no,yes,yes,telephone,may,wed,433,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
69,retired,married,basic.4y,no,yes,yes,cellular,oct,fri,257,3,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5
35,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,fri,746,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
36,self-employed,single,university.degree,no,no,no,cellular,jul,mon,195,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
45,admin.,married,unknown,no,no,no,telephone,jun,tue,242,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
55,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,tue,92,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
31,student,single,university.degree,no,no,no,cellular,aug,tue,279,4,6,2,success,-1.7,94.027,-38.3,0.899,4991.6
44,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,36,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
47,entrepreneur,married,professional.course,unknown,unknown,unknown,telephone,jun,thu,19,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
59,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,wed,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
50,services,married,high.school,no,no,no,cellular,jul,tue,301,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
50,housemaid,married,basic.9y,unknown,no,no,telephone,may,wed,673,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
26,self-employed,single,university.degree,no,yes,no,cellular,aug,mon,102,2,999,1,failure,-2.9,92.201,-31.4,0.821,5076.2
38,admin.,divorced,high.school,no,yes,yes,cellular,jul,fri,164,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38,management,divorced,high.school,no,yes,no,telephone,nov,thu,215,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,tue,34,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
35,blue-collar,divorced,basic.9y,no,yes,yes,telephone,may,mon,400,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
33,technician,married,high.school,unknown,no,yes,cellular,aug,wed,212,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
36,blue-collar,married,high.school,no,no,no,telephone,may,mon,34,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
32,retired,married,basic.4y,no,yes,no,cellular,apr,fri,531,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
60,admin.,married,university.degree,no,yes,no,cellular,may,mon,226,2,11,1,success,-1.8,92.893,-46.2,1.354,5099.1
59,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,690,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
26,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,123,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
35,management,married,university.degree,no,yes,no,cellular,aug,mon,69,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
29,admin.,married,university.degree,no,yes,no,cellular,may,mon,167,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
35,technician,single,professional.course,unknown,no,no,telephone,may,wed,198,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
41,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,wed,92,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
44,admin.,divorced,high.school,no,yes,yes,cellular,jul,wed,70,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
39,management,married,basic.6y,unknown,yes,no,telephone,jun,fri,38,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
29,admin.,married,high.school,no,yes,no,cellular,jun,tue,379,2,13,1,success,-1.7,94.055,-39.8,0.723,4991.6
41,technician,married,professional.course,no,no,no,cellular,nov,fri,407,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
28,blue-collar,single,basic.9y,no,yes,no,cellular,may,fri,113,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
36,self-employed,married,high.school,unknown,yes,no,cellular,aug,mon,101,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
34,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,140,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
28,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,289,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
39,unemployed,divorced,basic.9y,unknown,no,no,telephone,jun,fri,638,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
39,admin.,married,high.school,no,no,no,telephone,jul,fri,246,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1
37,admin.,divorced,university.degree,unknown,yes,no,cellular,may,wed,291,8,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
37,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,wed,99,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
50,management,married,university.degree,unknown,unknown,unknown,cellular,jul,thu,367,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
30,blue-collar,married,basic.4y,no,no,no,cellular,apr,mon,87,4,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
35,blue-collar,married,professional.course,no,yes,no,cellular,nov,tue,172,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8
37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,315,1,999,0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6
35,admin.,married,high.school,no,no,no,cellular,jul,tue,160,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
39,services,single,university.degree,unknown,yes,no,cellular,nov,thu,43,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
52,admin.,married,professional.course,no,no,no,cellular,jul,tue,606,1,999,0,nonexistent,-1.7,94.215,-40.3,0.893,4991.6
57,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,34,6,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
31,admin.,single,university.degree,no,no,yes,cellular,may,thu,546,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
32,unemployed,single,university.degree,no,yes,no,cellular,aug,fri,88,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2
35,admin.,married,university.degree,no,no,no,cellular,jul,mon,768,2,3,4,success,-1.7,94.215,-40.3,0.889,4991.6
74,retired,divorced,high.school,no,yes,yes,telephone,dec,mon,88,6,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5
37,technician,married,professional.course,no,no,no,cellular,aug,wed,157,3,4,2,success,-2.9,92.201,-31.4,0.884,5076.2
41,services,married,high.school,no,no,no,telephone,jun,thu,231,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
34,management,married,university.degree,no,yes,no,cellular,nov,thu,130,6,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
59,blue-collar,married,basic.4y,no,yes,no,cellular,mar,mon,124,2,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7
47,unknown,married,unknown,unknown,yes,no,telephone,jun,wed,91,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
29,unemployed,married,university.degree,no,yes,yes,cellular,may,fri,298,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
30,technician,divorced,basic.9y,no,yes,no,telephone,may,wed,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,technician,married,high.school,no,yes,no,cellular,aug,tue,108,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
39,admin.,single,high.school,no,no,no,telephone,nov,thu,51,1,999,0,nonexistent,-0.1,93.2,-42.0,4.245,5195.8
33,self-employed,married,university.degree,no,yes,no,cellular,aug,mon,98,3,999,0,nonexistent,-2.9,92.201,-31.4,0.821,5076.2
36,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,620,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
39,blue-collar,married,basic.4y,no,no,no,cellular,may,fri,180,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
32,technician,single,high.school,no,yes,no,cellular,aug,tue,78,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
47,blue-collar,divorced,basic.4y,no,yes,no,cellular,aug,mon,265,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
28,services,married,high.school,no,yes,no,cellular,jul,tue,191,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
35,blue-collar,married,basic.9y,no,yes,no,telephone,jul,mon,19,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
49,admin.,married,high.school,no,yes,no,cellular,aug,tue,129,8,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
50,blue-collar,married,basic.9y,unknown,yes,yes,telephone,may,tue,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
45,blue-collar,single,high.school,unknown,yes,no,cellular,may,mon,98,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1
46,technician,married,professional.course,no,yes,no,cellular,nov,mon,110,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8
32,technician,married,professional.course,no,no,no,telephone,may,wed,293,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
